MOISTURE,KNOT_RATIO,TREERING,E,DENSITY,BEAMHEIGHT,BENDING_STRENGTH,BENDING_STIFFNESS,
%,-,MM,N/MM2,KG/M3,CM,N/MM2,N/MM,
14.7,0.24,4.85,13040.0,617.0,171.0,62.04,2.0248447204968945,
16.0,0.18,7.07,10831.0,583.0,172.0,40.92,1.6714506172839507,
14.5,0.27,8.36,9021.0,509.0,172.0,31.24,1.3921296296296297,
15.0,0.37,3.04,13848.0,619.0,172.0,52.21,2.137037037037037,
14.8,0.24,7.0,8607.0,503.0,172.0,23.8,1.3282407407407408,
14.6,0.45,6.92,11269.0,506.0,171.0,31.82,1.7498447204968943,
13.6,0.34,6.07,9323.0,589.0,171.0,26.3,1.4476708074534161,
14.6,0.49,5.0,11680.0,509.0,171.0,40.45,1.813664596273292,
14.9,0.29,5.11,11313.0,566.0,175.0,41.63,1.714090909090909,
14.8,0.24,4.33,12076.0,614.0,171.0,35.42,1.8751552795031057,
13.4,0.25,4.5,11485.0,544.0,171.0,37.6,1.7833850931677018,
14.2,0.1,3.15,11603.0,567.0,168.0,51.95,1.8359177215189872,
13.9,0.21,6.5,11355.0,483.0,167.0,38.39,1.8081210191082802,
14.4,0.23,3.54,13522.0,599.0,166.0,59.75,2.1669871794871796,
15.5,0.04,2.85,14244.0,585.0,167.0,63.53,2.2681528662420383,
13.8,0.25,2.48,14385.0,543.0,167.0,49.7,2.2906050955414012,
12.8,0.18,5.25,11334.0,530.0,161.0,43.74,1.8764900662251656,
14.9,0.27,4.05,14026.0,513.0,167.0,54.35,2.2334394904458597,
13.1,0.11,3.03,12439.0,538.0,167.0,56.11,1.980732484076433,
12.9,0.33,5.79,11121.0,483.0,167.0,30.98,1.770859872611465,
13.1,0.37,4.3,11460.0,562.0,167.0,22.45,1.8248407643312101,
13.5,0.2,3.81,13062.0,552.0,161.0,52.35,2.162582781456954,
12.3,0.2,3.93,10618.0,546.0,167.0,42.1,1.690764331210191,
14.2,0.54,4.89,13552.0,595.0,167.0,43.5,2.1579617834394904,
14.5,0.49,4.74,10799.0,571.0,167.0,22.22,1.7195859872611465,
13.2,0.19,3.87,12579.0,599.0,167.0,53.65,2.0030254777070065,
13.9,0.21,2.7,11226.0,516.0,167.0,48.35,1.787579617834395,
12.9,0.32,5.43,12004.0,494.0,167.0,43.65,1.9114649681528662,
14.6,0.21,3.7,8690.0,511.0,168.0,41.83,1.375,
14.1,0.23,4.63,9759.0,454.0,167.0,32.47,1.5539808917197453,
14.5,0.07,1.96,21781.0,743.0,167.0,91.8,3.468312101910828,
13.5,0.21,4.11,12553.0,470.0,166.0,31.28,2.011698717948718,
14.7,0.19,2.7,10867.0,496.0,167.0,44.16,1.7304140127388534,
15.0,0.26,3.77,17494.0,675.0,166.0,51.5,2.803525641025641,
13.2,0.17,3.54,13721.0,646.0,167.0,41.47,2.1848726114649684,
15.7,0.26,2.48,20121.0,702.0,166.0,42.44,3.2245192307692307,
15.3,0.16,4.57,17044.0,662.0,166.0,70.31,2.7314102564102565,
14.8,0.25,5.23,12700.0,555.0,168.0,33.35,2.009493670886076,
15.1,0.11,2.53,13075.0,512.0,167.0,57.0,2.0820063694267517,
14.6,0.48,3.43,14775.0,528.0,166.0,64.24,2.3677884615384617,
16.2,0.39,3.3,10017.0,674.0,168.0,16.25,1.5849683544303796,
15.9,0.16,3.72,19385.0,737.0,166.0,62.79,3.1065705128205128,
14.2,0.27,4.27,11249.0,500.0,166.0,32.47,1.802724358974359,
15.2,0.19,3.22,12339.0,654.0,167.0,43.73,1.9648089171974523,
15.9,0.08,2.57,21517.0,720.0,167.0,69.48,3.4262738853503185,
16.4,0.08,1.98,22121.0,691.0,166.0,82.81,3.5450320512820515,
15.5,0.17,2.36,19977.0,665.0,167.0,64.88,3.1810509554140127,
15.8,0.23,3.74,11801.0,657.0,167.0,23.14,1.879140127388535,
13.8,0.24,2.9,13013.0,581.0,167.0,49.13,2.0721337579617836,
15.2,0.05,2.85,17374.0,623.0,166.0,65.79,2.784294871794872,
13.1,0.25,4.81,9380.0,592.0,181.0,17.39,1.371345029239766,
15.1,0.05,2.47,17434.0,611.0,167.0,72.08,2.7761146496815288,
14.0,0.06,3.27,15902.0,596.0,167.0,63.82,2.5321656050955412,
15.5,0.08,3.83,15216.0,583.0,166.0,61.5,2.4384615384615387,
14.4,0.06,2.56,17183.0,609.0,167.0,57.38,2.7361464968152864,
15.2,0.33,4.06,15728.0,621.0,167.0,52.62,2.5044585987261145,
13.9,0.2,2.89,15795.0,668.0,165.0,56.77,2.54758064516129,
40.9,0.17,3.37,12989.0,621.0,167.0,40.42,2.068312101910828,
13.8,0.23,4.17,15952.0,564.0,160.0,63.49,2.6586666666666665,
15.1,0.07,2.49,16735.0,592.0,166.0,67.2,2.6818910256410255,
14.8,0.21,3.57,14215.0,605.0,166.0,49.5,2.278044871794872,
14.2,0.17,3.6,13573.0,643.0,165.0,37.6,2.1891935483870966,
14.3,0.26,3.54,13489.0,652.0,166.0,49.6,2.161698717948718,
13.4,0.29,2.77,12619.0,638.0,164.0,38.9,2.048538961038961,
14.2,0.3,3.07,14029.0,648.0,165.0,20.7,2.262741935483871,
