YGSVRK SUOYZAXK QTUZ_XGZOU ZXKKXOTM K JKTYOZE HKGSNKOMNZ HKTJOTM_YZXKTMZN
ATOZY % - SS T/SS2 QM/S3 IS T/SS2
JU263 14.7 0.19 2.7 10867 496 167 44.16
JU264 15 0.26 3.77 17494 675 166 51.5
JU265 13.2 0.17 3.54 13721 646 167 41.47
JU266 15.7 0.26 2.48 20121 702 166 42.44
JU267 15.3 0.16 4.57 17044 662 166 70.31
JU268 14.8 0.25 5.23 12700 555 168 33.35
JU269 15.1 0.11 2.53 13075 512 167 57
JU270 14.6 0.48 3.43 14775 528 166 64.24
JU271 16.2 0.39 3.3 10017 674 168 16.25
JU272 15.9 0.16 3.72 19385 737 166 62.79
JU273 14.2 0.27 4.27 11249 500 166 32.47
JU274 15.2 0.19 3.22 12339 654 167 43.73
JU275 15.9 0.08 2.57 21517 720 167 69.48
JU276 16.4 0.08 1.98 22121 691 166 82.81
JU277 15.5 0.17 2.36 19977 665 167 64.88
JU278 15.8 0.23 3.74 11801 657 167 23.14
JU279 13.8 0.24 2.9 13013 581 167 49.13
JU280 15.2 0.05 2.85 17374 623 166 65.79
JU281 13.1 0.25 4.81 9380 592 181 17.39
JU282 15.1 0.05 2.47 17434 611 167 72.08
JU283 14 0.06 3.27 15902 596 167 63.82
JU284 15.5 0.08 3.83 15216 583 166 61.5
JU285 14.4 0.06 2.56 17183 609 167 57.38
JU286 15.2 0.33 4.06 15728 621 167 52.62
JU287 13.9 0.2 2.89 15795 668 165 56.77
JU288 40.9 0.17 3.37 12989 621 167 40.42
JU289 13.8 0.23 4.17 15952 564 160 63.49
JU290 15.1 0.07 2.49 16735 592 166 67.2
JU291 14.8 0.21 3.57 14215 605 166 49.5
JU292 14.2 0.17 3.6 13573 643 165 37.6
JU293 14.3 0.26 3.54 13489 652 166 49.6
JU294 13.4 0.29 2.77 12619 638 164 38.9
JU295 14.2 0.3 3.07 14029 648 165 20.7
JU296 14 0.13 3.58 15570 581 193 49.4
JU297 13.1 0.33 3.29 11004 616 193 34.7
JU298 13.3 0.14 3.96 14492 573 192 49
JU299 13.6 0.26 6.43 8883 620 193 33.7
JU300 14.6 0.34 2.4 9790 781 193 45.7
JU301 14.2 0.26 6.2 12606 525 193 38
JU302 14.4 0.22 4.19 17202 627 192 40.7
JU303 13.5 0.24 4.61 13123 553 191 58.8
JU304 13.2 0.28 3.41 14107 549 193 54
JU305 14.2 0.58 4.12 13145 570 192 55
JU306 14.8 0.23 4.96 11494 565 193 50.9
JU307 14.4 0.23 5.79 11630 537 192 29.3
JU308 14 0.22 5.39 11871 480 192 35.4
JU309 13.8 0.19 4.24 10418 515 193 31.2
JU310 14 0.14 4.7 13819 582 190 57.1
JU311 15.4 0.3 3.54 11469 620 193 41.5
JU312 13.2 0.35 4.52 13731 563 192 28.8
JU313 13.5 0.29 4.29 12104 572 193 33.8
JU314 14.4 0.22 3.68 12220 535 192 53.6
JU315 14.1 0.25 4.04 16237 627 193 41.7
JU316 14.4 0.35 5.67 11164 493 193 30.3
JU317 14.1 0.4 3.68 9882 500 192 17.1
JU318 14.6 0.14 5.28 11866 519 193 30.9
JU319 14.4 0.32 4.09 11045 531 192 33.4
JU320 13.3 0.15 4.55 11579 516 192 32.9
JU321 13.8 0.3 5 10481 449 193 31.2
JU322 11.3 0.23 5.15 13363 532 192 41
JU323 12.8 0.54 5.73 13115 568 192 39.2
JU324 13.9 0.28 3 12559 589 192 61.5
JU325 13.8 0.21 2.9 12572 589 192 55.4
JU326 12.9 0.22 4.29 12339 567 193 53.5
JU327 13.6 0.22 4.81 11808 544 192 56.9
JU328 13.9 0.27 4.17 12292 533 192 31
JU329 12.1 0.33 5.05 9641 490 191 37.6
JU330 13.8 0.26 5.89 10502 535 192 21.6
JU331 14.1 0.4 3.91 9556 491 192 33
JU332 14.2 0.21 4.54 11461 497 192 36.3
JU333 13.7 0.14 7.58 11228 512 191 46.3
JU334 13.5 0.52 3.93 12075 505 193 33
JU335 13.6 0.43 5.82 9469 457 192 29.4
JU336 11.5 0.15 5.06 12456 589 173 40.6
JU337 12.7 0.27 6.43 9706 467 197 36.7
JU339 13.6 0.18 5.88 9449 457 197 26.8
JU340 14.1 0.22 6.17 12908 593 197 35.6
JU342 14.5 0.34 5.72 11753 491 196 37.5
JU343 14.9 0.32 6.61 12879 592 197 26.2
JU344 13.7 0.24 8.2 9296 507 197 25
JU345 13.4 0.25 7.13 9576 489 197 17.1
JU346 14.4 0.19 3.39 13413 580 196 50.9
JU347 13.8 0.62 4.57 13734 553 196 30.2
JU348 14.8 0.37 3.43 12455 539 198 32.7
JU349 13.9 0.26 5.57 12128 521 198 33.4
JU350 13.6 0.14 5.71 11296 506 175 29.3
JU351 13.8 0.33 6.73 11302 506 175 32.8
JU352 14.1 0.26 9 7166 448 175 18.7
JU353 12.2 0.19 4.42 10936 547 197 19.9
JU354 12.6 0.25 5.29 10041 532 175 22.3
JU355 12.8 0.29 6.7 10689 538 175 28.6
JU356 14.1 0.18 5.56 13652 517 175 47.4
JU357 12.7 0.45 7.38 9358 465 197 23.1
JU358 13.1 0.45 4.9 12433 539 175 31.9
JU359 13.9 0.33 5.28 10721 534 174 28.8
JU360 13.4 0.2 7.33 7821 451 175 21.1
JU361 12.9 0.19 5.16 14075 532 175 48.7
JU362 13.5 0.39 8.5 9093 476 197 23.8
JU363 13.7 0.26 4.64 13331 524 174 31.2
